hotel_id,address,name,description,website_url,latitude,longitude,city_id,rating_location,rating_sleep,rating_rooms,rating_service,rating_value,rating_cleanliness,tripadvisor_price_level,amenities,cluster
1,"Margaretenguertel 142, Vienna 1050 Austria",MAXX by Steigenberger Vienna,"The MAXX Hotel Vienna welcomes you, centrally located between Westbahnhof station and the city center. All 195 rooms and suites are furnished in a modern way to invite you to relax and recharge your batteries. Cozy comfort and good facilities provide a perfect environment to have a good time and relax.",https://www.tripadvisor.com/Hotel_Review-g190454-d5000571-Reviews-MAXX_by_Steigenberger_Vienna-Vienna.html?m=66827,48.18694,16.344294,6,4.5,4.0,4.5,4.5,4.5,4.5,2.0,"['Internet', 'Free Internet', 'Wheelchair access', 'Pets Allowed', 'Wifi', 'Free Wifi', 'Fitness center', 'Suites', 'Room service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Airport transportation', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking rooms', 'Business center', 'Laundry Service', 'Concierge', 'Banquet Room', 'Air conditioning', 'Family Rooms', 'Multilingual Staff', 'Accessible rooms', 'Minibar', 'Conference Facilities', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Rooftop Terrace', 'Breakfast Buffet', 'Breakfast Available', 'Facilities for Disabled Guests', 'Sauna', 'Baggage Storage', 'Blackout Curtains', '24-Hour Check-in', 'Coffee / Tea Maker', 'Desk', 'English', 'Fitness / Spa Locker Rooms', 'Complimentary Toiletries', '24-Hour Front Desk', 'German', 'Ironing Service', 'Massage', 'Outdoor Furniture', 'Parking Garage', 'Paid Private Parking On-site', 'Secured Parking', 'Shoeshine', 'Steam Room', 'Taxi Service', 'Telephone', 'Wake Up Service / Alarm Clock', 'Public Wifi', 'Parking', 'Allergy-free Room', 'Body Wrap', 'Cable / Satellite TV', 'Full Body Massage', 'Laptop Safe', 'Neck Massage', 'Newspaper', 'Radio', 'Umbrella', 'Vending Machine', 'VIP Room Facilities', 'Photo Copier / Fax In Business Center']",7
2,"Sieveringer Strasse 4, Vienna 1190 Austria",Living Hotel Kaiser Franz Joseph,"Our Living Hotel Kaiser Franz Jospeh is situated away from the hustle and bustle of Vienna. You will be surrounded by peace and serenity in Vienna’s 19th District, home to countless beautiful villas. Inside our building you will find spacious, comfortable rooms and apartments as well as tailor-made service. Outside, the vineyards offer breathtaking panoramic views of Vienna.",https://www.tripadvisor.com/Hotel_Review-g190454-d229559-Reviews-Living_Hotel_Kaiser_Franz_Joseph-Vienna.html?m=66827,48.24606,16.34118,6,4.0,3.5,3.5,4.0,4.0,4.0,2.0,"['Fitness center', 'Pets Allowed', 'Room service', 'Bar/Lounge', 'Internet', 'Free Internet', 'Wheelchair access', 'Kitchenette', 'Wifi', 'Free Wifi', 'Public Wifi', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking rooms', 'Laundry Service', 'Concierge', 'Family Rooms', 'Multilingual Staff', 'Refrigerator in room', 'Conference Facilities', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Sauna', 'Baggage Storage', 'English', '24-Hour Front Desk', 'German', 'Restaurant', 'Accessible rooms', 'Minibar', 'Breakfast Available', 'Parking', 'Currency Exchange']",7
4,"Brandmayergasse 7-9, Vienna 1050 Austria",The Art Hotel Vienna,"The Art Hotel Vienna is a modern, innovative hotel with very well trained and experienced operators. Our guests appreciate the very family and informal atmosphere and the attention of our team. We have both standard double or single rooms as well as family rooms, studios with kitchenette and fully equipped apartments. Throughout the house you can see that our hotel is dedicated to the painting. On the floors, rooms and public areas hang pictures of different art forms. From time to time, in the lobby, you can watch austrian students at their work and admire the creation of new works of art. We monthly change the pictures in the breakfast and conference room. Also our garage (with 8 parking sites) was elaborately decorated and can be used for a surcharge. Our 24-hour front desk also manages the on-site bar, can be consumed at the round-the-clock beverages. For the smokers among our guests in our hotel lounge invites a wine cellar. The rich breackfast buffet scores with a wide selection, selected tea specialties and excellent coffee machine. Convince yourself! We look forward to you glad to welcome.",https://www.tripadvisor.com/Hotel_Review-g190454-d228059-Reviews-The_Art_Hotel_Vienna-Vienna.html?m=66827,48.185123,16.35234,6,4.0,4.0,4.0,4.0,4.0,4.5,1.0,"['Internet', 'Free Internet', 'Wifi', 'Free Wifi', 'Bar/Lounge', 'Public Wifi', 'Non-smoking rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Housekeeping', 'English', '24-Hour Front Desk', 'German', 'Street Parking', 'Dry Cleaning', 'Laundry Service', 'Safe', 'Baggage Storage', 'Bath / Shower', 'Cable / Satellite TV', '24-Hour Check-in', 'Coffee Shop', 'Complimentary Toiletries', 'Hair Dryer', 'Ironing Service', 'Newspaper', 'Parking Garage', 'Private Bathrooms', 'Paid Private Parking On-site', 'Russian', 'Secured Parking', 'Shoeshine', 'Telephone', 'Ukrainian', 'Umbrella', 'Wake Up Service / Alarm Clock', 'Wardrobe / Closet']",7
5,"Kleine Stadtgutgasse 4, Vienna 1020 Austria",Der Wilhelmshof,"Der Wilhelmshof - the arthotel between the city center of Vienna and the famous PraterIn the immediate vicinity of one of the main attractions of Vienna, the Ferris wheel in Vienna's Prater, our arthotel «Der Wilhelmshof» is located in a quiet side alley.The interior of the family-run 4-star hotel impresses by its warm, artistic atmosphere, which, together with the modern technical equipment and personal service, is thoroughly tailored to the needs and the well-being of our guests. We are a special hotel, since art accompanies our guests throughout the hotel – from the elegant entrance hall through the artistically staged mezzanines up to the stylish guest rooms that are individually designed. Besides the WLAN access which is available for our hotel guests, free of charge, there is also a hotel-owned garage. Please note that Der Wilhelmshof a non- smoking hotel.Our professionalism, the comfortable and cozy atmosphere and our passion for details rank among our strengths.",https://www.tripadvisor.com/Hotel_Review-g190454-d257208-Reviews-Der_Wilhelmshof-Vienna.html?m=66827,48.21843,16.388046,6,4.5,4.5,4.5,4.5,4.5,4.5,2.0,"['Internet', 'Free Internet', 'Wifi', 'Free Wifi', 'Pets Allowed', 'Non-smoking rooms', 'Suites', 'Bar/Lounge', 'Laundry Service', 'Air conditioning', 'Family Rooms', 'Multilingual Staff', 'Minibar', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Allergy-free Room', 'Baggage Storage', 'Bath / Shower', 'Blackout Curtains', 'Breakfast in the Room', '24-Hour Check-in', 'Complimentary Tea', 'Desk', 'English', 'Complimentary Instant Cofffee', 'Complimentary Toiletries', 'French', '24-Hour Front Desk', 'German', 'Hair Dryer', 'Hungarian', 'Ironing Service', 'Kid-Friendly Buffet', 'Newspaper', 'Paid Private Parking On-site', 'Shoeshine', 'Snack Bar', 'Soundproof Rooms', 'Special Diet Menus', 'Taxi Service', 'Telephone', 'Wake Up Service / Alarm Clock', 'Conference Facilities', 'Bidet', 'Electric Kettle', 'Interconnected room(s) available', 'Polish', 'Private Bathrooms', 'Walk-in Shower', 'Wardrobe / Closet']",7
6,"Begijnenstraat 3, Mechelen 2800 Belgium",Hotel 3 Paardekens,"Welcome to 3 Paardekens Hotel, your Mechelen “home away from home.” 3 Paardekens Hotel aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.
Nearby landmarks such as Ijzerenleen (0.1 mi) and Haverwerf (0.2 mi) make 3 Paardekens Hotel a great place to stay when visiting Mechelen.
You’ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a desk, and you can stay connected during your stay as 3 Paardekens Hotel offers guests free wifi.
The small hotel features baggage storage. Plus, 3 Paardekens Hotel offers a lounge, providing a pleasant respite from your busy day. For guests with a vehicle, parking is available.
Mechelen has plenty of Mediterranean restaurants. So when you’re here, be sure to check out popular spots like RONDA, Pintxos, and La Vigna, which are serving up some great dishes.
Plus, during your trip, don’t forget to check out some of the popular parks, such as ZOO Planckendael, Provinciaal Groendomein Vrijbroekpark, and Tivoli Nature Park.
3 Paardekens Hotel puts the best of Mechelen at your fingertips, making your stay both relaxing and enjoyable.
",https://www.tripadvisor.com/Hotel_Review-g188637-d1836036-Reviews-Hotel_3_Paardekens-Mechelen_Antwerp_Province.html?m=66827,51.02811,4.478152,10,4.5,3.5,3.5,3.5,3.5,4.0,1.0,"['Internet', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Wifi', 'Free Wifi', 'Non-smoking rooms', 'Flatscreen TV', 'Breakfast Buffet', 'Bottled Water', 'Paid Public Parking Nearby', 'Public Wifi', 'Non-smoking hotel', 'Rooftop Terrace', 'Parking', 'Housekeeping', 'Baggage Storage', 'Canoeing', 'Desk', 'Dutch', 'English', 'Complimentary Toiletries', 'French', 'German', 'Hair Dryer', 'Hiking', 'Iron', 'Polish', 'Portuguese', 'Shoeshine', 'Soundproof Rooms', 'Spanish', 'Telephone', 'Wine / Champagne']",8
7,"Molenbergstraat 9 - 11, Antwerp 2000 Belgium",Quality Hotel Antwerpen Centrum Opera,Six story hotel with cozy wine bar located in city center; 4 km from Deurne (ANR) airport & 40 km to Brussels BRU airport.,https://www.tripadvisor.com/Hotel_Review-g188636-d206674-Reviews-Quality_Hotel_Antwerpen_Centrum_Opera-Antwerp_Antwerp_Province.html?m=66827,51.220226,4.415548,10,4.0,4.0,3.5,4.0,3.5,4.0,1.0,"['Internet', 'Free Internet', 'Free Wifi', 'Non-smoking rooms', 'Public Wifi', 'Concierge', 'Multilingual Staff', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Facilities for Disabled Guests', 'Housekeeping', 'Baggage Storage', 'Dutch', 'English', 'French', '24-Hour Front Desk', 'Suites', 'Wheelchair access', 'Bar/Lounge', 'Wifi', 'Dry Cleaning', 'Meeting rooms', 'Laundry Service', 'Family Rooms', 'Breakfast Available']",8
251,"Rue Duquesnoy, 5, Brussels 1000 Belgium",Warwick Brussels,"Nestled amongst the cobbled streets in the heart of Brussels, the grand, distinguished, renovated and historic Warwick Brussels stands just next to the picturesque and world famous Grand Place.",https://www.tripadvisor.com/Hotel_Review-g188644-d228078-Reviews-Warwick_Brussels-Brussels.html?m=66827,50.845142,4.354411,12,5.0,4.0,3.5,4.0,3.5,4.0,2.0,"['Room service', 'Restaurant', 'Business center', 'Fitness center', 'Internet', 'Suites', 'Free Internet', 'Wifi', 'Free Wifi', 'Bar/Lounge', 'Public Wifi', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Air conditioning', 'Multilingual Staff', 'Minibar', 'Conference Facilities', 'Safe', 'Flatscreen TV', 'Rooftop Terrace', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Sauna', 'Allergy-free Room', 'Arabic', 'Baggage Storage', 'Breakfast in the Room', 'Bridal Suite', '24-Hour Check-in', 'Doorperson', 'Dutch', 'English', 'Fitness / Spa Locker Rooms', 'Complimentary Instant Cofffee', 'French', '24-Hour Front Desk', 'German', 'Ironing Service', 'Italian', 'Paid Private Parking On-site', 'Paid Private Parking Nearby', '24-Hour Security', 'Spanish', 'Taxi Service', 'Valet Parking', 'VIP Room Facilities', 'Wake Up Service / Alarm Clock', 'Express Check-in / Check-out']",8
8,"Luithagen-Haven 6, Antwerp 2030 Belgium",Novotel Antwerpen Hotel,"The Novotel Antwerpen is a 3 star hotel located between the city centre and the port, in the harbour business district, 7 km from the centre of Antwerp. It features 120 rooms, a Foodsquare Bar and Brasserie , as well as 4 conference rooms for meetings and seminars. This Family hotel is equally suited to business trips and holidays in Antwerp with your partner or family. Its luminous, interior with beautiful garden and pool views gives you a feeling of well being. Free WiFi, Air Conditioning and free parking is available. The parking is also equipped with Tesla Superchargers.",https://www.tripadvisor.com/Hotel_Review-g188636-d206678-Reviews-Novotel_Antwerpen_Hotel-Antwerp_Antwerp_Province.html?m=66827,51.267864,4.401805,10,4.0,3.5,3.5,4.0,3.5,4.0,2.0,"['Restaurant', 'Internet', 'Free parking', 'Wifi', 'Free Wifi', 'Bar/Lounge', 'Meeting rooms', 'Non-smoking rooms', 'Room service', 'Wheelchair access', 'Public Wifi', 'Multilingual Staff', 'Conference Facilities', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Baggage Storage', 'Dutch', 'English', '24-Hour Front Desk', 'Pool', 'Free Internet', 'Pets Allowed', 'Airport transportation', 'Dry Cleaning', 'Business center', 'Fitness center', 'Laundry Service', 'Concierge', 'Banquet Room', 'Family Rooms', 'Safe', 'Poolside Bar', 'Outdoor pool', 'Private Pools', 'Electric vehicle charging station', 'Afrikaans', 'Arabic', 'Badminton', 'Bath / Shower', 'BBQ Facilities', 'Bicycle Rental', 'Bicycles Available', 'Blackout Curtains', 'Bottled Water', 'Breakfast in the Room', 'Cable / Satellite TV', '24-Hour Check-in', 'Express Check-in / Check-out', ""Children's Television Networks"", ""Children's Playground"", 'Clothes Dryer', 'Clothes Rack', 'Coffee / Tea Maker', 'Desk', 'Dining Area', 'First Aid Kit', 'Complimentary Toiletries', 'Complimentary Welcome Drink', 'French', 'Game Room', 'German', 'Gift Shop', 'Hair Dryer', 'Highchairs Available', 'Indoor Play Area for Children', 'Iron', 'Ironing Service', ""Kids' Meals"", ""Kids' Outdoor Play Equipment"", 'Newspaper', 'Outdoor Dining Area', 'Outdoor Furniture', 'Parking Garage', 'Pool / Beach Towels', 'Pool with View', 'Portuguese', 'Private Bathrooms', 'Radio', 'Secured Parking', 'Shared Lounge / TV Area', 'Shoeshine', 'Sofa', 'Sofa Bed', 'Soundproof Rooms', 'Spanish', 'Special Diet Menus', 'Sun Loungers / Beach Chairs', 'Sun Terrace', 'Sun Umbrellas', 'Table Tennis', 'Taxi Service', 'Telephone', 'Turkish', 'Umbrella', 'Vending Machine', 'Wake Up Service / Alarm Clock', 'Washing Machine', 'Wine / Champagne']",8
55,"Schutzenbahn 58, 45127 Essen, North Rhine-Westphalia Germany",Ramada By Wyndham Essen,"The Ramada by Wyndham Essen is the ideal address for everyone planning a business trip, who likes to attend trade fairs or is interested in culture and sports. Enjoy luxurious 4-star comfort in a state-of-the-art hotel with 176 rooms in various price categories.",https://www.tripadvisor.com/Hotel_Review-g187375-d261592-Reviews-Ramada_By_Wyndham_Essen-Essen_North_Rhine_Westphalia.html?m=66827,51.4599,7.015184,131,4.0,4.0,4.0,4.0,4.0,4.5,1.0,"['Restaurant', 'Internet', 'Free Internet', 'Wheelchair access', 'Free Wifi', 'Suites', 'Meeting rooms', 'Non-smoking rooms', 'Air conditioning', 'Multilingual Staff', 'Minibar', 'Conference Facilities', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Electric vehicle charging station', 'Baggage Storage', 'English', 'Room service', 'Bar/Lounge', 'Pets Allowed', 'Airport transportation', 'Wifi', 'Dry Cleaning', 'Business center', 'Laundry Service', 'Banquet Room', 'Refrigerator in room', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Allergy-free Room', 'Bath / Shower', 'Bicycle Rental', 'Bicycle Tours', 'Blackout Curtains', 'Bottled Water', 'Breakfast in the Room', 'Cable / Satellite TV', '24-Hour Check-in', ""Children's Television Networks"", 'Coffee / Tea Maker', 'Complimentary Tea', 'Desk', 'Extra Long Beds', 'First Aid Kit', 'Complimentary Instant Cofffee', 'Complimentary Toiletries', 'Free Wifi in the Business Center', '24-Hour Front Desk', 'German', 'Hair Dryer', 'Iron', 'Ironing Service', ""Kids' Meals"", 'Landmark View', 'Newspaper', 'Outdoor Furniture', 'Parking Garage', 'Private Bathrooms', 'Paid Private Parking On-site', 'Radio', 'Seating Area', '24-Hour Security', 'Secured Parking', 'Shoeshine', 'Sofa', 'Soundproof Rooms', 'Taxi Service', 'Telephone', 'Umbrella', 'Walking Tours', 'Wardrobe / Closet', 'Wine / Champagne', 'Photo Copier / Fax In Business Center']",6
9,"Kempischdok-Westkaai 84-90, Antwerp 2000 Belgium",Hotel Docklands,"Hotel Docklands is situated on the trendy “Eilandje”. With us you stay in the hippest district of Antwerp, surrounded by quaint shops, cozy restaurants and attractive terraces. Hotel Docklands is a modern 3-star hotel with 38 comfortable hotel rooms. In our adjacent building there are 5 attractive apartments which are suitable for both short and a long stay. On the ground floor you will find the reception, a cozy lobby and the restaurant where you can enjoy a delicious breakfast. Enjoy everything Antwerp has to offer. Architecture, fashion, culture, gastronomy and shopping come together here. A visit to this great city is unforgettable. Enjoy a drink at one of the many trendy restaurants and take a walk along the wide city boulevards. 't Eilandje is a must for anyone who loves hip and trendy! Public transport is available at 100 m from Hotel Docklands, offering easy access to Antwerp Zoo, Central Station and the centre. The MAS museum is less than a 10-minute walk away.",https://www.tripadvisor.com/Hotel_Review-g188636-d1164669-Reviews-Hotel_Docklands-Antwerp_Antwerp_Province.html?m=66827,51.231792,4.412841,10,3.5,3.5,3.5,4.0,3.5,4.0,1.0,"['Internet', 'Free Internet', 'Bar/Lounge', 'Wifi', 'Free Wifi', 'Non-smoking rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Flatscreen TV', 'Breakfast Buffet', 'Housekeeping', 'Baggage Storage', 'Dutch', 'English', 'Complimentary Instant Cofffee', 'Meeting rooms', 'Laundry Service', 'Safe', 'Breakfast Available', 'Board Games / Puzzles', 'Express Check-in / Check-out', 'Complimentary Tea', 'French', 'German', 'Private Check-in / Check-out', 'Paid Public Parking Nearby', 'Shared Lounge / TV Area', 'Shoeshine', 'Street Parking']",8
